Year,province,city,communityID,0
2011,±±¾©,±±¾©,940041,42
2011,±±¾©,±±¾©,940043,4
2011,±±¾©,±±¾©,940042,4
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,1082592,54
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040043,36
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051022,33
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,1053813,28
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051021,25
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,1082593,19
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051023,19
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040042,1
2011,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,1
2011,Ìì½ò,Ìì½ò,1940373,18
2011,Ìì½ò,Ìì½ò,1940371,17
2011,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,896762,22
2011,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,896763,22
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140311,32
2011,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,146431,28
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,27
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140512,26
2011,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,146432,19
2011,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140313,12
2013,±±¾©,±±¾©,940041,2
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040043,36
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,1082593,12
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,8
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1051022,8
2013,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,1082592,6
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140311,24
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140512,12
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,10
2013,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140313,4
2013,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,146431,1
2015,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040043,36
2015,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1040041,4
2015,ÄÚÃÉ¹Å×ÔÖÎÇø,ôÂ×±´¶ûÊÐ,1082593,2
2015,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140511,4
2015,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,140313,2
